wallet,total,positions,version
0x1B765DC31F94A48468C9678B1F07ca3eF21CB951,2438.85727358449,3,1
0xe408f4f7590C026a5Cc27F5c65087f502e458A23,2373.041508734418,5,1
0x548cC2684E2767932C36ECceeEe18eF261Eb1A4b,2136.48,1,1
0x6B92686c40747C85809a6772D0eda8e22a77C60c,2027.2744,1,1
0x4d14d74c84dC509A405404C80992D58308E46608,1863.5190804276433,7,1
0xBfCdC2f21dfD9Ac76beb1f986E156ee73c93f889,1804.760251029322,53,1
0xc65E253fccA8332B889Eed23809aE4B87ffcA808,1791.8435685653626,1,1
0x44e8dCC0FbA2dE2b9370EdE1d838503CE4AE0A3A,1459.793713281843,10,1
0x2f024B3EcCfE52150E55A147Ff4b3fC8640871B5,1412.5717627630918,3,1
0x7cc8157b45A927e0e313A245958441B43fed2225,1384.688789,1,1
0xe1db7acd80677Cd517dcA72e0d13DD7D937ADf71,1154.9752332919988,2,1
0x70b3B87e117Bb989E9CD1791d5B789A08DD80777,1122.455607,1,1
0x9F403140Bc0574D7d36eA472b82DAa1Bbd4eF327,906.3981828875088,1,1
0x08741ECF651f39C8783e20F59F6b81A326D67A72,878.9115226205026,2,1
0x8e7eBE53b6ad215E395f3f17d43C3b75062DfDa1,822.2433331615815,8,1
0x7197d925ca15722839011a45dB8e23826702bd47,820.208,1,1
0x4C3Cb322e6bD999A29BDf38DD0E091fc881Fb85b,790.2160296950557,2,1
0x97E3aEd7D21Db0887067Ead03474488c702C332D,751.4271522304032,2,1
0x7bE31BEE4AacCCa5bc94FC36bbcA924F65D2b442,727.5568,1,1
0x7c9188932f5665Dd808C28c0bD8B191f668fa278,716.1585326746889,7,1
0x9233b138AdDC477A18d1b3D7db21cAE4508b0DaA,662.1916723164695,1,1
0xfDa14453494e93ce4e69f9152490d7A1e5d18aBB,646.7023233408271,2,1
0xeeB2FFA13F4eF4381647FE642eBFaD0CC1BBc467,636.6192465405417,2,1
0xc18B7886B31E319c9aC1591A304A73c5C9c768eA,617.3999998310368,2,1
0x7D95D2B579B8819b2b370516A79E1939F3a6be34,601.1382912411603,2,1
0xb6593f3dF0CADc2dC4C61208429e4ec4059404b5,597.7683843252435,12,1
0x6d3fB03cc874155EA1844052efC2deF432C84cA5,591.8281964777875,6,1
